Question_No,Question,Acceptance,isPremium,Question_Link,Solution,Tags
1, Two Sum,53.80%,FALSE,https://leetcode.com/problems/two-sum/description,https://leetcode.com/problems/two-sum/solutions,Easy
2, Add Two Numbers,44.10%,FALSE,https://leetcode.com/problems/add-two-numbers/description,https://leetcode.com/problems/add-two-numbers/solutions,Edge Case Intensive
3, Longest Substring Without Repeating Characters,35.40%,FALSE,https://leetcode.com/problems/longest-substring-without-repeating-characters/description,https://leetcode.com/problems/longest-substring-without-repeating-characters/solutions,Tricky
3, Longest Substring Without Repeating Characters,35.40%,FALSE,https://leetcode.com/problems/longest-substring-without-repeating-characters/description,https://leetcode.com/problems/longest-substring-without-repeating-characters/solutions,MultiConcept
4, Median of Two Sorted Arrays,41.50%,FALSE,https://leetcode.com/problems/median-of-two-sorted-arrays/description,https://leetcode.com/problems/median-of-two-sorted-arrays/solutions,Hard
4, Median of Two Sorted Arrays,41.50%,FALSE,https://leetcode.com/problems/median-of-two-sorted-arrays/description,https://leetcode.com/problems/median-of-two-sorted-arrays/solutions,MultiConcept
5, Longest Palindromic Substring,34.40%,FALSE,https://leetcode.com/problems/longest-palindromic-substring/description,https://leetcode.com/problems/longest-palindromic-substring/solutions,Tricky
5, Longest Palindromic Substring,34.40%,FALSE,https://leetcode.com/problems/longest-palindromic-substring/description,https://leetcode.com/problems/longest-palindromic-substring/solutions,MultiConcept
6, Zigzag Conversion,49.30%,FALSE,https://leetcode.com/problems/zigzag-conversion/description,https://leetcode.com/problems/zigzag-conversion/solutions,Edge Case Intensive
7, Reverse Integer,29.20%,FALSE,https://leetcode.com/problems/reverse-integer/description,https://leetcode.com/problems/reverse-integer/solutions,Tricky
7, Reverse Integer,29.20%,FALSE,https://leetcode.com/problems/reverse-integer/description,https://leetcode.com/problems/reverse-integer/solutions,Optimization Required
8, String to Integer (atoi),17.90%,FALSE,https://leetcode.com/problems/string-to-integer-(atoi)/description,https://leetcode.com/problems/string-to-integer-(atoi)/solutions,Tricky
8, String to Integer (atoi),17.90%,FALSE,https://leetcode.com/problems/string-to-integer-(atoi)/description,https://leetcode.com/problems/string-to-integer-(atoi)/solutions,Optimization Required
9, Palindrome Number,57.50%,FALSE,https://leetcode.com/problems/palindrome-number/description,https://leetcode.com/problems/palindrome-number/solutions,Easy
10, Regular Expression Matching,28.40%,FALSE,https://leetcode.com/problems/regular-expression-matching/description,https://leetcode.com/problems/regular-expression-matching/solutions,Hard
10, Regular Expression Matching,28.40%,FALSE,https://leetcode.com/problems/regular-expression-matching/description,https://leetcode.com/problems/regular-expression-matching/solutions,Optimization Required
11, Container With Most Water,56.20%,FALSE,https://leetcode.com/problems/container-with-most-water/description,https://leetcode.com/problems/container-with-most-water/solutions,Edge Case Intensive
12, Integer to Roman,66.30%,FALSE,https://leetcode.com/problems/integer-to-roman/description,https://leetcode.com/problems/integer-to-roman/solutions,Edge Case Intensive
13, Roman to Integer,62.70%,FALSE,https://leetcode.com/problems/roman-to-integer/description,https://leetcode.com/problems/roman-to-integer/solutions,Easy
14, Longest Common Prefix,43.80%,FALSE,https://leetcode.com/problems/longest-common-prefix/description,https://leetcode.com/problems/longest-common-prefix/solutions,Easy
15, 3Sum,35.40%,FALSE,https://leetcode.com/problems/3sum/description,https://leetcode.com/problems/3sum/solutions,Tricky
16, 3Sum Closest,46.10%,FALSE,https://leetcode.com/problems/3sum-closest/description,https://leetcode.com/problems/3sum-closest/solutions,Edge Case Intensive
17, Letter Combinations of a Phone Number,61.70%,FALSE,https://leetcode.com/problems/letter-combinations-of-a-phone-number/description,https://leetcode.com/problems/letter-combinations-of-a-phone-number/solutions,Edge Case Intensive
18, 4Sum,36.70%,FALSE,https://leetcode.com/problems/4sum/description,https://leetcode.com/problems/4sum/solutions,Tricky
19, Remove Nth Node From End of List,46.70%,FALSE,https://leetcode.com/problems/remove-nth-node-from-end-of-list/description,https://leetcode.com/problems/remove-nth-node-from-end-of-list/solutions,Edge Case Intensive
20, Valid Parentheses,41.00%,FALSE,https://leetcode.com/problems/valid-parentheses/description,https://leetcode.com/problems/valid-parentheses/solutions,Easy
21, Merge Two Sorted Lists,65.30%,FALSE,https://leetcode.com/problems/merge-two-sorted-lists/description,https://leetcode.com/problems/merge-two-sorted-lists/solutions,Easy
22, Generate Parentheses,75.50%,FALSE,https://leetcode.com/problems/generate-parentheses/description,https://leetcode.com/problems/generate-parentheses/solutions,Edge Case Intensive
23, Merge k Sorted Lists,54.10%,FALSE,https://leetcode.com/problems/merge-k-sorted-lists/description,https://leetcode.com/problems/merge-k-sorted-lists/solutions,Hard
24, Swap Nodes in Pairs,65.30%,FALSE,https://leetcode.com/problems/swap-nodes-in-pairs/description,https://leetcode.com/problems/swap-nodes-in-pairs/solutions,Edge Case Intensive
25, Reverse Nodes in k-Group,60.40%,FALSE,https://leetcode.com/problems/reverse-nodes-in-k-group/description,https://leetcode.com/problems/reverse-nodes-in-k-group/solutions,Hard
26, Remove Duplicates from Sorted Array,57.60%,FALSE,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array/solutions,Easy
26, Remove Duplicates from Sorted Array,57.60%,FALSE,https://leetcode.com/problems/remove-duplicates-from-sorted-array/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array/solutions,MultiConcept
27, Remove Element,58.20%,FALSE,https://leetcode.com/problems/remove-element/description,https://leetcode.com/problems/remove-element/solutions,Easy
28, Find the Index of the First Occurrence in a String,43.40%,FALSE,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/description,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string/solutions,Easy
29, Divide Two Integers,17.80%,FALSE,https://leetcode.com/problems/divide-two-integers/description,https://leetcode.com/problems/divide-two-integers/solutions,Tricky
29, Divide Two Integers,17.80%,FALSE,https://leetcode.com/problems/divide-two-integers/description,https://leetcode.com/problems/divide-two-integers/solutions,Optimization Required
30, Substring with Concatenation of All Words,32.50%,FALSE,https://leetcode.com/problems/substring-with-concatenation-of-all-words/description,https://leetcode.com/problems/substring-with-concatenation-of-all-words/solutions,Hard
30, Substring with Concatenation of All Words,32.50%,FALSE,https://leetcode.com/problems/substring-with-concatenation-of-all-words/description,https://leetcode.com/problems/substring-with-concatenation-of-all-words/solutions,MultiConcept
31, Next Permutation,41.10%,FALSE,https://leetcode.com/problems/next-permutation/description,https://leetcode.com/problems/next-permutation/solutions,Edge Case Intensive
32, Longest Valid Parentheses,34.80%,FALSE,https://leetcode.com/problems/longest-valid-parentheses/description,https://leetcode.com/problems/longest-valid-parentheses/solutions,Hard
33, Search in Rotated Sorted Array,41.50%,FALSE,https://leetcode.com/problems/search-in-rotated-sorted-array/description,https://leetcode.com/problems/search-in-rotated-sorted-array/solutions,Edge Case Intensive
33, Search in Rotated Sorted Array,41.50%,FALSE,https://leetcode.com/problems/search-in-rotated-sorted-array/description,https://leetcode.com/problems/search-in-rotated-sorted-array/solutions,MultiConcept
34, Find First and Last Position of Element in Sorted Array,45.20%,FALSE,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/solutions,Edge Case Intensive
34, Find First and Last Position of Element in Sorted Array,45.20%,FALSE,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/description,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/solutions,MultiConcept
35, Search Insert Position,47.20%,FALSE,https://leetcode.com/problems/search-insert-position/description,https://leetcode.com/problems/search-insert-position/solutions,Easy
36, Valid Sudoku,60.60%,FALSE,https://leetcode.com/problems/valid-sudoku/description,https://leetcode.com/problems/valid-sudoku/solutions,Edge Case Intensive
37, Sudoku Solver,62.80%,FALSE,https://leetcode.com/problems/sudoku-solver/description,https://leetcode.com/problems/sudoku-solver/solutions,Hard
38, Count and Say,56.40%,FALSE,https://leetcode.com/problems/count-and-say/description,https://leetcode.com/problems/count-and-say/solutions,Edge Case Intensive
39, Combination Sum,72.70%,FALSE,https://leetcode.com/problems/combination-sum/description,https://leetcode.com/problems/combination-sum/solutions,Edge Case Intensive
40, Combination Sum II,56.40%,FALSE,https://leetcode.com/problems/combination-sum-ii/description,https://leetcode.com/problems/combination-sum-ii/solutions,Edge Case Intensive
41, First Missing Positive,40.00%,FALSE,https://leetcode.com/problems/first-missing-positive/description,https://leetcode.com/problems/first-missing-positive/solutions,Hard
42, Trapping Rain Water,63.10%,FALSE,https://leetcode.com/problems/trapping-rain-water/description,https://leetcode.com/problems/trapping-rain-water/solutions,Hard
43, Multiply Strings,41.00%,FALSE,https://leetcode.com/problems/multiply-strings/description,https://leetcode.com/problems/multiply-strings/solutions,Edge Case Intensive
44, Wildcard Matching,28.60%,FALSE,https://leetcode.com/problems/wildcard-matching/description,https://leetcode.com/problems/wildcard-matching/solutions,Hard
44, Wildcard Matching,28.60%,FALSE,https://leetcode.com/problems/wildcard-matching/description,https://leetcode.com/problems/wildcard-matching/solutions,Optimization Required
45, Jump Game II,40.70%,FALSE,https://leetcode.com/problems/jump-game-ii/description,https://leetcode.com/problems/jump-game-ii/solutions,Edge Case Intensive
46, Permutations,79.20%,FALSE,https://leetcode.com/problems/permutations/description,https://leetcode.com/problems/permutations/solutions,Edge Case Intensive
47, Permutations II,60.00%,FALSE,https://leetcode.com/problems/permutations-ii/description,https://leetcode.com/problems/permutations-ii/solutions,Edge Case Intensive
48, Rotate Image,75.90%,FALSE,https://leetcode.com/problems/rotate-image/description,https://leetcode.com/problems/rotate-image/solutions,Edge Case Intensive
49, Group Anagrams,69.40%,FALSE,https://leetcode.com/problems/group-anagrams/description,https://leetcode.com/problems/group-anagrams/solutions,Edge Case Intensive
51, N-Queens,70.00%,FALSE,https://leetcode.com/problems/n-queens/description,https://leetcode.com/problems/n-queens/solutions,Hard
52, N-Queens II,75.00%,FALSE,https://leetcode.com/problems/n-queens-ii/description,https://leetcode.com/problems/n-queens-ii/solutions,Hard
53, Maximum Subarray,51.20%,FALSE,https://leetcode.com/problems/maximum-subarray/description,https://leetcode.com/problems/maximum-subarray/solutions,Edge Case Intensive
54, Spiral Matrix,51.30%,FALSE,https://leetcode.com/problems/spiral-matrix/description,https://leetcode.com/problems/spiral-matrix/solutions,Edge Case Intensive
55, Jump Game,38.80%,FALSE,https://leetcode.com/problems/jump-game/description,https://leetcode.com/problems/jump-game/solutions,Tricky
56, Merge Intervals,48.00%,FALSE,https://leetcode.com/problems/merge-intervals/description,https://leetcode.com/problems/merge-intervals/solutions,Edge Case Intensive
57, Insert Interval,42.20%,FALSE,https://leetcode.com/problems/insert-interval/description,https://leetcode.com/problems/insert-interval/solutions,Edge Case Intensive
58, Length of Last Word,53.70%,FALSE,https://leetcode.com/problems/length-of-last-word/description,https://leetcode.com/problems/length-of-last-word/solutions,Easy
59, Spiral Matrix II,72.10%,FALSE,https://leetcode.com/problems/spiral-matrix-ii/description,https://leetcode.com/problems/spiral-matrix-ii/solutions,Edge Case Intensive
60, Permutation Sequence,48.10%,FALSE,https://leetcode.com/problems/permutation-sequence/description,https://leetcode.com/problems/permutation-sequence/solutions,Hard
61, Rotate List,38.60%,FALSE,https://leetcode.com/problems/rotate-list/description,https://leetcode.com/problems/rotate-list/solutions,Tricky
62, Unique Paths,64.80%,FALSE,https://leetcode.com/problems/unique-paths/description,https://leetcode.com/problems/unique-paths/solutions,Edge Case Intensive
63, Unique Paths II,42.20%,FALSE,https://leetcode.com/problems/unique-paths-ii/description,https://leetcode.com/problems/unique-paths-ii/solutions,Edge Case Intensive
64, Minimum Path Sum,65.00%,FALSE,https://leetcode.com/problems/minimum-path-sum/description,https://leetcode.com/problems/minimum-path-sum/solutions,Edge Case Intensive
65, Valid Number,20.40%,FALSE,https://leetcode.com/problems/valid-number/description,https://leetcode.com/problems/valid-number/solutions,Hard
65, Valid Number,20.40%,FALSE,https://leetcode.com/problems/valid-number/description,https://leetcode.com/problems/valid-number/solutions,Optimization Required
66, Plus One,46.20%,FALSE,https://leetcode.com/problems/plus-one/description,https://leetcode.com/problems/plus-one/solutions,Easy
67, Add Binary,54.30%,FALSE,https://leetcode.com/problems/add-binary/description,https://leetcode.com/problems/add-binary/solutions,Easy
68, Text Justification,45.10%,FALSE,https://leetcode.com/problems/text-justification/description,https://leetcode.com/problems/text-justification/solutions,Hard
69, Sqrt(x),39.40%,FALSE,https://leetcode.com/problems/sqrt(x)/description,https://leetcode.com/problems/sqrt(x)/solutions,Easy
70, Climbing Stairs,53.10%,FALSE,https://leetcode.com/problems/climbing-stairs/description,https://leetcode.com/problems/climbing-stairs/solutions,Easy
71, Simplify Path,44.20%,FALSE,https://leetcode.com/problems/simplify-path/description,https://leetcode.com/problems/simplify-path/solutions,Edge Case Intensive
72, Edit Distance,57.30%,FALSE,https://leetcode.com/problems/edit-distance/description,https://leetcode.com/problems/edit-distance/solutions,Edge Case Intensive
73, Set Matrix Zeroes,57.40%,FALSE,https://leetcode.com/problems/set-matrix-zeroes/description,https://leetcode.com/problems/set-matrix-zeroes/solutions,Edge Case Intensive
74, Search a 2D Matrix,51.00%,FALSE,https://leetcode.com/problems/search-a-2d-matrix/description,https://leetcode.com/problems/search-a-2d-matrix/solutions,Edge Case Intensive
75, Sort Colors,65.00%,FALSE,https://leetcode.com/problems/sort-colors/description,https://leetcode.com/problems/sort-colors/solutions,Edge Case Intensive
76, Minimum Window Substring,43.70%,FALSE,https://leetcode.com/problems/minimum-window-substring/description,https://leetcode.com/problems/minimum-window-substring/solutions,Hard
76, Minimum Window Substring,43.70%,FALSE,https://leetcode.com/problems/minimum-window-substring/description,https://leetcode.com/problems/minimum-window-substring/solutions,MultiConcept
77, Combinations,71.30%,FALSE,https://leetcode.com/problems/combinations/description,https://leetcode.com/problems/combinations/solutions,Edge Case Intensive
78, Subsets,79.20%,FALSE,https://leetcode.com/problems/subsets/description,https://leetcode.com/problems/subsets/solutions,Edge Case Intensive
79, Word Search,43.60%,FALSE,https://leetcode.com/problems/word-search/description,https://leetcode.com/problems/word-search/solutions,Edge Case Intensive
80, Remove Duplicates from Sorted Array II,60.20%,FALSE,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/solutions,Edge Case Intensive
80, Remove Duplicates from Sorted Array II,60.20%,FALSE,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/solutions,MultiConcept
81, Search in Rotated Sorted Array II,38.20%,FALSE,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/description,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/solutions,Tricky
81, Search in Rotated Sorted Array II,38.20%,FALSE,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/description,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/solutions,MultiConcept
82, Remove Duplicates from Sorted List II,48.30%,FALSE,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/description,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/solutions,Edge Case Intensive
83, Remove Duplicates from Sorted List,53.40%,FALSE,https://leetcode.com/problems/remove-duplicates-from-sorted-list/description,https://leetcode.com/problems/remove-duplicates-from-sorted-list/solutions,Easy
